CustomerID,Gender,Age,Annual Income(K$),Spending Score,Profession,Work Experience,Family Size,Monthly salary
72,Female,47,9.0,42,Entertainment,8,2,0.75
73,Female,60,44.0,49,Artist,0,5,3.67
74,Female,60,10.0,56,Healthcare,8,4,0.83
75,Male,59,89.0,47,Artist,0,4,7.42
76,Male,26,49.0,54,Homemaker,0,3,4.08
77,Female,45,67.0,53,Doctor,0,2,5.58
78,Male,40,99.0,48,Artist,4,3,8.25
79,Female,23,97.0,52,Engineer,2,2,8.08
80,Female,49,98.0,42,Unemployed,1,1,8.17
81,Male,57,52.0,51,Healthcare,0,4,4.33
82,Male,38,61.0,55,Healthcare,6,3,5.08
83,Male,67,120.0,41,Artist,8,1,10.0
84,Female,46,34.0,44,Entertainment,8,4,2.83
85,Female,21,24.0,57,Marketing,1,3,2.0
86,Male,48,31.0,46,Healthcare,7,5,2.58
87,Female,55,11.0,58,Artist,0,3,0.92
88,Female,22,55.0,55,Artist,5,2,4.58
89,Female,34,76.0,60,Entertainment,7,3,6.33
90,Female,50,56.0,46,Doctor,0,2,4.67
91,Female,68,46.0,55,Entertainment,0,3,3.83
92,Male,18,36.0,41,Artist,1,4,3.0
93,Male,48,88.0,49,Artist,1,2,7.33
94,Female,40,31.0,40,Entertainment,1,2,2.58
95,Female,32,24.0,42,Artist,0,1,2.0
96,Male,24,80.0,52,Artist,10,1,6.67
97,Female,47,2.0,47,Artist,0,1,0.17
98,Female,27,67.0,50,Artist,0,2,5.58
99,Male,48,58.0,42,Doctor,1,2,4.83
100,Male,20,80.0,49,Engineer,3,3,6.67
101,Female,23,65.0,41,Artist,0,4,5.42
102,Female,49,4.0,48,Executive,1,7,0.33
103,Male,67,98.0,59,Artist,0,3,8.17
104,Male,26,52.0,55,Executive,0,5,4.33
105,Male,49,86.0,56,Healthcare,10,2,7.17
106,Female,21,82.0,42,Doctor,1,2,6.83
107,Female,66,43.0,50,Homemaker,3,2,3.58
108,Male,54,78.0,46,Lawyer,1,1,6.5
109,Male,68,13.0,43,Healthcare,6,5,1.08
110,Male,66,13.0,48,Healthcare,9,3,1.08
111,Male,65,34.0,52,Entertainment,4,4,2.83
112,Female,19,25.0,54,Artist,0,1,2.08
113,Female,38,71.0,42,Doctor,1,5,5.92
114,Male,19,2.0,46,Artist,1,1,0.17
115,Female,18,97.0,48,Executive,0,3,8.08
116,Female,19,51.0,50,Executive,8,4,4.25
117,Female,63,9.0,43,Lawyer,1,1,0.75
118,Female,49,79.0,59,Artist,0,2,6.58
119,Female,51,84.0,43,Unemployed,2,7,7.0
120,Female,50,87.0,57,Artist,1,2,7.25
121,Male,27,36.0,56,Executive,0,3,3.0
122,Female,38,50.0,40,Executive,1,4,4.17
123,Female,40,97.0,58,Engineer,9,4,8.08
124,Male,39,6.0,91,Healthcare,1,3,0.5
125,Female,23,12.0,29,Entertainment,9,2,1.0
126,Female,31,46.0,77,Marketing,1,2,3.83
127,Male,43,89.0,35,Engineer,0,7,7.42
128,Male,40,4.0,95,Artist,0,2,0.33
129,Male,59,38.0,11,Engineer,0,2,3.17
130,Male,38,64.0,75,Entertainment,8,5,5.33
131,Male,47,66.0,9,Executive,9,5,5.5
132,Male,39,26.0,75,Lawyer,0,2,2.17
133,Female,25,41.0,34,Healthcare,6,4,3.42
134,Female,31,45.0,71,Artist,5,1,3.75
135,Male,20,89.0,5,Engineer,1,2,7.42
136,Female,29,92.0,88,Executive,5,5,7.67
137,Female,44,76.0,7,Artist,5,2,6.33
138,Male,32,85.0,73,Artist,3,4,7.08
139,Male,19,22.0,10,Marketing,8,4,1.83
140,Female,35,15.0,72,Artist,4,4,1.25
141,Female,57,32.0,5,Engineer,0,2,2.67
142,Male,32,66.0,93,Artist,0,5,5.5
143,Female,28,62.0,40,Doctor,5,3,5.17
144,Female,32,85.0,87,Lawyer,1,2,7.08
145,Male,25,71.0,12,Engineer,0,5,5.92
146,Male,28,26.0,97,Marketing,8,5,2.17
147,Male,48,52.0,36,Engineer,9,2,4.33
148,Female,32,38.0,74,Lawyer,1,1,3.17
149,Female,34,51.0,22,Healthcare,7,4,4.25
150,Male,34,90.0,90,Artist,6,3,7.5
151,Male,43,30.0,17,Lawyer,0,9,2.5
152,Male,39,41.0,88,Engineer,0,1,3.42
153,Female,44,17.0,20,Engineer,0,2,1.42
154,Female,38,92.0,76,Artist,2,2,7.67
155,Female,47,80.0,16,Healthcare,0,4,6.67
156,Female,27,10.0,89,Marketing,8,4,0.83
157,Male,37,16.0,1,Executive,1,1,1.33
158,Female,30,87.0,78,Artist,3,4,7.25
159,Male,34,66.0,1,Lawyer,1,2,5.5
160,Female,30,86.0,73,Artist,3,3,7.17
161,Female,56,9.0,35,Artist,1,1,0.75
162,Female,29,50.0,83,Healthcare,1,5,4.17
163,Male,19,35.0,5,Executive,0,5,2.92
164,Female,31,58.0,93,Healthcare,1,5,4.83
165,Male,50,47.0,26,Doctor,0,2,3.92
166,Female,36,54.0,75,Artist,5,3,4.5
167,Male,42,79.0,20,Homemaker,9,3,6.58
168,Female,33,83.0,95,Artist,0,5,6.92
169,Female,36,57.0,27,Artist,0,3,4.75
170,Male,32,0.0,63,Artist,2,2,0.0
171,Male,40,69.0,13,Artist,3,5,5.75
172,Male,28,4.0,75,Executive,0,2,0.33
173,Male,36,79.0,10,Lawyer,0,2,6.58
174,Male,36,99.0,92,Artist,5,2,8.25
175,Female,52,20.0,13,Lawyer,0,2,1.67
176,Female,30,28.0,86,Artist,3,4,2.33
177,Male,58,29.0,15,Engineer,11,1,2.42
178,Male,27,45.0,69,Healthcare,2,6,3.75
179,Male,59,86.0,14,Healthcare,4,3,7.17
180,Male,35,42.0,90,Engineer,8,1,3.5
181,Female,37,59.0,32,Artist,7,2,4.92
182,Female,32,61.0,86,Entertainment,7,5,5.08
183,Male,46,11.0,15,Artist,7,1,0.92
184,Female,29,66.0,88,Artist,4,4,5.5
185,Female,41,39.0,39,Artist,1,1,3.25
186,Male,30,72.0,97,Artist,6,2,6.0
187,Female,54,14.0,24,Lawyer,1,2,1.17
188,Male,28,44.0,68,Doctor,5,3,3.67
189,Female,41,76.0,17,Engineer,8,2,6.33
190,Female,36,95.0,85,Artist,4,2,7.92
191,Female,34,92.0,23,Artist,5,3,7.67
192,Female,32,98.0,69,Artist,8,2,8.17
193,Male,33,96.0,8,Executive,9,2,8.0
194,Female,38,45.0,91,Artist,10,4,3.75
195,Female,47,8.0,16,Artist,7,2,0.67
196,Female,35,46.0,79,Executive,1,3,3.83
197,Female,45,78.0,28,Artist,0,2,6.5
198,Male,32,4.0,74,Artist,1,5,0.33
199,Male,32,81.0,18,Executive,1,2,6.75
200,Male,30,33.0,83,Artist,4,2,2.75
201,Female,21,40.0,10,Healthcare,0,3,3.33
202,Male,34,85.0,16,Healthcare,9,3,7.08
203,Female,16,60.0,0,Engineer,6,8,5.0
204,Female,76,60.0,39,Healthcare,4,2,5.0
205,Female,62,63.0,59,Entertainment,0,2,5.25
206,Female,63,10.0,52,Healthcare,8,3,0.83
207,Female,19,55.0,61,Healthcare,0,3,4.58
208,Male,46,93.0,12,Artist,2,1,7.75
209,Female,48,15.0,7,Doctor,0,2,1.25
210,Female,80,39.0,33,Engineer,9,4,3.25
211,Female,1,57.0,93,Engineer,1,2,4.75
212,Female,0,22.0,92,Artist,2,1,1.83
213,Male,86,12.0,70,Marketing,2,4,1.0
214,Male,49,50.0,82,Lawyer,8,1,4.17
215,Male,48,95.0,68,Doctor,2,4,7.92
216,Female,46,66.0,70,Healthcare,3,3,5.5
217,Male,79,20.0,40,Doctor,6,2,1.67
218,Female,83,35.0,99,Doctor,8,2,2.92
219,Female,66,71.0,34,Executive,9,2,5.92
220,Female,59,76.0,61,Unemployed,9,1,6.33
221,Female,39,84.0,33,Artist,5,3,7.0
222,Female,95,72.0,51,Engineer,4,2,6.0
223,Male,43,33.0,55,Artist,4,3,2.75
224,Female,93,93.0,37,Healthcare,1,5,7.75
225,Female,40,83.0,48,Homemaker,4,1,6.92
226,Female,78,23.0,8,Engineer,1,1,1.92
227,Female,25,40.0,77,Artist,5,4,3.33
228,Male,76,89.0,86,Healthcare,9,4,7.42
229,Male,0,33.0,64,Marketing,1,1,2.75
230,Male,15,94.0,30,Healthcare,7,2,7.83
231,Female,6,93.0,53,Lawyer,8,2,7.75
232,Male,84,7.0,28,Healthcare,0,4,0.58
233,Female,67,18.0,88,Lawyer,0,2,1.5
234,Female,78,3.0,14,Healthcare,0,4,0.25
235,Female,4,84.0,54,Artist,9,1,7.0
236,Female,29,62.0,34,Healthcare,0,4,5.17
237,Male,91,9.0,96,Healthcare,1,5,0.75
238,Male,95,36.0,35,Unemployed,0,4,3.0
239,Male,55,37.0,74,Lawyer,1,4,3.08
240,Female,14,50.0,11,Artist,1,2,4.17
241,Male,92,83.0,16,Executive,1,5,6.92
242,Female,65,79.0,17,Artist,0,3,6.58
243,Female,84,40.0,14,Healthcare,1,4,3.33
244,Female,77,47.0,58,Artist,0,6,3.92
245,Female,53,4.0,20,Artist,0,4,0.33
246,Female,28,38.0,75,Entertainment,7,2,3.17
247,Male,23,0.0,96,Doctor,1,3,0.0
248,Female,32,7.0,16,Artist,1,2,0.58
249,Female,37,41.0,2,Artist,1,2,3.42
250,Female,89,65.0,0,Engineer,0,5,5.42
251,Male,80,20.0,93,Engineer,1,3,1.67
252,Female,27,44.0,65,Doctor,8,1,3.67
253,Female,78,3.0,14,Artist,5,4,0.25
254,Female,86,72.0,13,Lawyer,7,3,6.0
255,Female,46,27.0,32,Engineer,4,4,2.25
256,Male,59,85.0,49,Lawyer,4,2,7.08
257,Male,12,38.0,18,Executive,10,1,3.17
258,Male,79,73.0,96,Homemaker,6,7,6.08
259,Female,79,64.0,64,Artist,2,3,5.33
260,Male,26,26.0,60,Executive,6,4,2.17
261,Female,63,47.0,16,Artist,2,3,3.92
262,Female,52,35.0,85,Doctor,2,6,2.92
263,Female,32,31.0,24,Lawyer,2,3,2.58
264,Female,64,13.0,38,Engineer,3,4,1.08
265,Female,37,79.0,10,Homemaker,1,7,6.58
266,Male,7,82.0,39,Entertainment,2,2,6.83
267,Female,40,28.0,68,Artist,1,1,2.33
268,Female,78,36.0,79,Artist,0,3,3.0
269,Female,34,8.0,76,Entertainment,6,6,0.67
270,Female,52,88.0,39,Artist,1,2,7.33
271,Male,94,91.0,36,Entertainment,0,4,7.58
272,Female,1,12.0,82,Doctor,0,3,1.0
273,Female,96,1.0,76,Entertainment,0,3,0.08
274,Female,18,143.0,99,Artist,0,2,11.92
275,Female,37,18.0,57,Artist,1,2,1.5
276,Male,78,65.0,89,Lawyer,1,2,5.42
277,Male,16,9.0,88,Executive,7,4,0.75
278,Male,93,95.0,21,Artist,1,1,7.92
279,Female,74,78.0,12,Engineer,9,3,6.5
280,Male,68,48.0,73,Healthcare,3,3,4.0
281,Female,32,63.0,87,Executive,1,4,5.25
282,Female,43,85.0,63,Marketing,1,2,7.08
283,Female,52,43.0,58,Artist,1,3,3.58
284,Female,63,74.0,20,Artist,1,2,6.17
285,Female,33,67.0,11,Healthcare,0,1,5.58
286,Male,86,59.0,40,Artist,0,1,4.92
287,Female,85,140.0,84,Entertainment,1,1,11.67
288,Female,73,31.0,47,Healthcare,1,2,2.58
289,Female,21,5.0,91,Marketing,0,1,0.42
290,Female,93,19.0,58,Engineer,1,3,1.58
291,Male,9,27.0,62,Entertainment,7,1,2.25
292,Female,10,68.0,80,Doctor,6,3,5.67
293,Male,11,38.0,66,Artist,8,8,3.17
294,Female,48,50.0,36,Engineer,6,4,4.17
295,Female,73,80.0,73,Entertainment,2,2,6.67
296,Female,66,69.0,43,Executive,9,3,5.75
297,Female,79,31.0,91,Engineer,3,3,2.58
298,Male,62,87.0,41,Doctor,6,2,7.25
299,Male,17,79.0,16,Artist,1,3,6.58
300,Male,32,32.0,86,Entertainment,5,2,2.67
301,Male,85,153.787,100,Entertainment,3,3,12.82
302,Male,31,95.851,16,Healthcare,5,2,7.99
303,Female,31,145.015,73,Healthcare,6,3,12.08
304,Female,38,148.539,7,Healthcare,5,2,12.38
305,Female,90,117.319,21,Lawyer,1,2,9.78
306,Female,65,180.243,26,Marketing,6,2,15.02
307,Female,63,165.052,12,Artist,4,2,13.75
308,Female,61,120.487,14,Doctor,0,2,10.04
309,Male,26,112.766,83,Engineer,8,4,9.4
310,Female,17,156.488,65,Engineer,1,4,13.04
311,Male,56,97.562,15,Executive,5,6,8.13
312,Female,12,77.501,30,Engineer,5,4,6.46
313,Female,24,118.302,100,Lawyer,5,1,9.86
314,Female,13,64.277,9,Executive,9,4,5.36
315,Male,12,53.927,77,Doctor,2,3,4.49
316,Male,72,93.921,93,Lawyer,9,2,7.83
317,Female,54,132.046,8,Homemaker,4,4,11.0
318,Male,45,183.217,91,Artist,7,2,15.27
319,Male,66,182.937,44,Marketing,8,1,15.24
320,Female,27,68.272,56,Healthcare,8,4,5.69
321,Male,36,69.841,21,Engineer,10,2,5.82
322,Male,5,69.078,60,Lawyer,13,1,5.76
323,Female,89,110.667,100,Healthcare,2,4,9.22
324,Male,13,95.469,94,Doctor,6,1,7.96
325,Female,91,102.861,40,Artist,4,1,8.57
326,Male,16,133.551,7,Artist,3,1,11.13
327,Female,63,64.589,90,Engineer,7,1,5.38
328,Male,52,152.755,39,Engineer,4,2,12.73
329,Female,37,92.313,58,Healthcare,1,5,7.69
330,Female,78,98.922,2,Artist,2,3,8.24
331,Male,24,165.846,33,Engineer,0,4,13.82
332,Female,4,93.713,62,Engineer,3,4,7.81
333,Male,84,137.641,67,Healthcare,0,5,11.47
334,Male,0,173.743,96,Artist,0,4,14.48
335,Female,67,116.126,58,Entertainment,10,2,9.68
336,Female,32,112.246,30,Healthcare,8,3,9.35
337,Female,39,69.384,75,Healthcare,1,5,5.78
338,Female,68,76.529,62,Healthcare,0,2,6.38
339,Female,7,123.804,28,Doctor,14,1,10.32
340,Female,76,68.292,55,Artist,8,2,5.69
341,Female,84,173.185,99,Artist,3,1,14.43
342,Male,75,142.034,82,Entertainment,1,4,11.84
343,Male,22,107.941,61,Artist,0,1,9.0
344,Female,90,149.84,61,Engineer,1,1,12.49
345,Female,4,148.431,99,Healthcare,1,8,12.37
346,Female,78,126.599,84,Lawyer,0,3,10.55
347,Female,58,57.18,22,Healthcare,9,1,4.76
348,Female,99,184.426,41,Artist,9,1,15.37
349,Female,24,151.085,39,Marketing,2,5,12.59
350,Female,88,166.107,98,Artist,13,4,13.84
351,Female,92,67.85,91,Artist,9,4,5.65
352,Male,99,173.394,4,Engineer,13,1,14.45
353,Female,51,72.303,98,Lawyer,7,1,6.03
354,Male,23,181.76,35,Healthcare,14,3,15.15
355,Female,13,146.858,75,Doctor,9,1,12.24
356,Male,22,172.923,20,Engineer,6,1,14.41
357,Female,89,115.811,87,Homemaker,11,4,9.65
358,Male,20,184.324,51,Marketing,13,5,15.36
359,Female,72,67.353,19,Lawyer,9,3,5.61
360,Male,17,165.999,71,Healthcare,9,3,13.83
361,Male,90,164.914,18,Artist,8,3,13.74
362,Male,99,63.364,61,Entertainment,1,2,5.28
363,Female,39,182.352,73,Engineer,4,3,15.2
364,Female,37,148.544,56,Entertainment,1,2,12.38
365,Male,46,62.833,85,Artist,1,2,5.24
366,Male,65,120.627,72,Healthcare,0,2,10.05
367,Female,60,130.898,30,Artist,1,1,10.91
368,Female,93,103.13,74,Executive,12,3,8.59
369,Male,72,106.681,15,Healthcare,9,5,8.89
370,Female,36,87.353,25,Entertainment,1,5,7.28
371,Male,52,88.046,61,Artist,8,1,7.34
372,Female,72,98.168,49,Entertainment,1,2,8.18
373,Female,28,178.265,5,Lawyer,2,1,14.86
374,Female,48,167.232,92,Doctor,6,4,13.94
375,Male,85,140.478,43,Doctor,6,4,11.71
376,Male,22,159.296,83,Artist,8,1,13.27
377,Female,30,144.043,78,Doctor,1,1,12.0
378,Male,46,72.594,64,Artist,1,2,6.05
379,Female,82,180.288,77,Artist,2,2,15.02
380,Female,73,165.734,51,Entertainment,0,1,13.81
381,Male,8,175.407,2,Artist,5,1,14.62
382,Male,90,70.201,8,Engineer,0,2,5.85
383,Male,34,91.503,26,Artist,0,6,7.63
384,Female,10,184.522,43,Artist,0,2,15.38
385,Female,79,143.56,83,Artist,1,3,11.96
386,Male,83,131.574,97,Artist,1,2,10.96
387,Female,20,151.124,18,Artist,15,3,12.59
388,Female,25,67.447,5,Artist,15,2,5.62
389,Female,26,117.454,8,Healthcare,16,2,9.79
390,Female,18,86.203,23,Doctor,13,1,7.18
391,Female,7,136.231,10,Artist,7,1,11.35
392,Male,1,89.144,1,Doctor,12,2,7.43
393,Male,21,119.116,30,Artist,17,4,9.93
394,Female,86,163.463,31,Artist,9,4,13.62
395,Female,75,151.696,82,Artist,15,1,12.64
396,Male,78,184.736,52,Lawyer,13,1,15.39
397,Female,87,70.419,69,Homemaker,6,4,5.87
398,Female,8,119.104,41,Entertainment,14,3,9.93
399,Male,59,130.95,28,Executive,5,3,10.91
