CustomerID,Gender,Age,Annual_Income,Spending_Score,Profession,Work_Experience,Family_Size
289,1,21,5000,91,Marketing,0,1
290,1,93,19000,58,Engineer,1,3
291,0,9,27000,62,Entertainment,7,1
292,1,10,68000,80,Doctor,6,3
293,0,11,38000,66,Artist,8,8
294,1,48,50000,36,Engineer,6,4
295,1,73,80000,73,Entertainment,2,2
296,1,66,69000,43,Executive,9,3
297,1,79,31000,91,Engineer,3,3
298,0,62,87000,41,Doctor,6,2
299,0,17,79000,16,Artist,1,3
300,0,32,32000,86,Entertainment,5,2
301,0,85,153787,100,Entertainment,3,3
302,0,31,95851,16,Healthcare,5,2
303,1,31,145015,73,Healthcare,6,3
304,1,38,148539,7,Healthcare,5,2
305,1,90,117319,21,Lawyer,1,2
306,1,65,180243,26,Marketing,6,2
307,1,63,165052,12,Artist,4,2
308,1,61,120487,14,Doctor,0,2
309,0,26,112766,83,Engineer,8,4
310,1,17,156488,65,Engineer,1,4
311,0,56,97562,15,Executive,5,6
312,1,12,77501,30,Engineer,5,4
313,1,24,118302,100,Lawyer,5,1
314,1,13,64277,9,Executive,9,4
315,0,12,53927,77,Doctor,2,3
316,0,72,93921,93,Lawyer,9,2
317,1,54,132046,8,Homemaker,4,4
318,0,45,183217,91,Artist,7,2
319,0,66,182937,44,Marketing,8,1
320,1,27,68272,56,Healthcare,8,4
321,0,36,69841,21,Engineer,10,2
322,0,5,69078,60,Lawyer,13,1
323,1,89,110667,100,Healthcare,2,4
324,0,13,95469,94,Doctor,6,1
325,1,91,102861,40,Artist,4,1
326,0,16,133551,7,Artist,3,1
327,1,63,64589,90,Engineer,7,1
328,0,52,152755,39,Engineer,4,2
329,1,37,92313,58,Healthcare,1,5
330,1,78,98922,2,Artist,2,3
331,0,24,165846,33,Engineer,0,4
332,1,4,93713,62,Engineer,3,4
333,0,84,137641,67,Healthcare,0,5
334,0,0,173743,96,Artist,0,4
335,1,67,116126,58,Entertainment,10,2
336,1,32,112246,30,Healthcare,8,3
337,1,39,69384,75,Healthcare,1,5
338,1,68,76529,62,Healthcare,0,2
339,1,7,123804,28,Doctor,14,1
340,1,76,68292,55,Artist,8,2
341,1,84,173185,99,Artist,3,1
342,0,75,142034,82,Entertainment,1,4
343,0,22,107941,61,Artist,0,1
344,1,90,149840,61,Engineer,1,1
345,1,4,148431,99,Healthcare,1,8
346,1,78,126599,84,Lawyer,0,3
347,1,58,57180,22,Healthcare,9,1
348,1,99,184426,41,Artist,9,1
349,1,24,151085,39,Marketing,2,5
350,1,88,166107,98,Artist,13,4
351,1,92,67850,91,Artist,9,4
352,0,99,173394,4,Engineer,13,1
353,1,51,72303,98,Lawyer,7,1
354,0,23,181760,35,Healthcare,14,3
355,1,13,146858,75,Doctor,9,1
356,0,22,172923,20,Engineer,6,1
357,1,89,115811,87,Homemaker,11,4
358,0,20,184324,51,Marketing,13,5
359,1,72,67353,19,Lawyer,9,3
360,0,17,165999,71,Healthcare,9,3
361,0,90,164914,18,Artist,8,3
362,0,99,63364,61,Entertainment,1,2
363,1,39,182352,73,Engineer,4,3
364,1,37,148544,56,Entertainment,1,2
365,0,46,62833,85,Artist,1,2
366,0,65,120627,72,Healthcare,0,2
367,1,60,130898,30,Artist,1,1
368,1,93,103130,74,Executive,12,3
369,0,72,106681,15,Healthcare,9,5
370,1,36,87353,25,Entertainment,1,5
371,0,52,88046,61,Artist,8,1
372,1,72,98168,49,Entertainment,1,2
373,1,28,178265,5,Lawyer,2,1
374,1,48,167232,92,Doctor,6,4
375,0,85,140478,43,Doctor,6,4
376,0,22,159296,83,Artist,8,1
377,1,30,144043,78,Doctor,1,1
378,0,46,72594,64,Artist,1,2
379,1,82,180288,77,Artist,2,2
380,1,73,165734,51,Entertainment,0,1
381,0,8,175407,2,Artist,5,1
382,0,90,70201,8,Engineer,0,2
383,0,34,91503,26,Artist,0,6
384,1,10,184522,43,Artist,0,2
385,1,79,143560,83,Artist,1,3
386,0,83,131574,97,Artist,1,2
387,1,20,151124,18,Artist,15,3
388,1,25,67447,5,Artist,15,2
389,1,26,117454,8,Healthcare,16,2
390,1,18,86203,23,Doctor,13,1
391,1,7,136231,10,Artist,7,1
392,0,1,89144,1,Doctor,12,2
393,0,21,119116,30,Artist,17,4
394,1,86,163463,31,Artist,9,4
395,1,75,151696,82,Artist,15,1
396,0,78,184736,52,Lawyer,13,1
397,1,87,70419,69,Homemaker,6,4
398,1,8,119104,41,Entertainment,14,3
399,0,59,130950,28,Executive,5,3
400,0,13,140950,77,Artist,15,2
401,1,55,82285,35,Engineer,16,1
402,1,50,91389,92,Healthcare,11,7
403,0,54,186359,95,Doctor,13,2
404,0,13,178989,46,Doctor,14,3
405,0,79,166335,45,Engineer,5,5
406,1,65,119889,11,Artist,17,6
407,1,51,66852,73,Executive,15,3
408,0,18,103896,36,Executive,16,4
409,0,21,187761,87,Healthcare,2,3
410,0,37,102717,93,Healthcare,7,4
411,0,83,102647,83,Entertainment,0,2
412,1,96,113585,31,Lawyer,0,4
413,1,65,86509,88,Artist,0,4
414,0,80,59099,44,Marketing,1,7
415,1,75,135088,5,Lawyer,1,5
416,1,87,110870,78,Engineer,1,4
417,1,86,187667,12,Artist,0,1
418,1,36,124614,25,Artist,8,5
419,1,78,166492,40,Homemaker,9,7
420,1,62,172758,69,Entertainment,1,2
421,0,89,122430,19,Healthcare,1,1
422,1,56,183540,96,Entertainment,0,6
423,1,35,96484,34,Artist,5,4
424,0,33,112587,71,Artist,1,4
425,1,58,155672,71,Entertainment,7,7
426,1,68,72847,93,Artist,1,2
427,0,38,71897,32,Entertainment,2,3
428,0,31,158479,57,Doctor,1,5
429,0,90,89251,4,Entertainment,1,1
430,0,28,179911,24,Engineer,1,1
431,0,1,111558,85,Healthcare,7,4
432,0,78,127615,78,Executive,10,7
433,1,23,50076,32,Artist,3,5
434,1,25,77779,62,Artist,4,1
435,0,59,169999,38,Engineer,5,5
436,1,7,106581,76,Doctor,1,7
437,1,24,78223,41,Lawyer,0,1
438,0,76,136259,14,,0,7
439,0,37,153399,93,Entertainment,1,6
440,1,6,162858,91,Artist,0,1
441,1,0,57373,29,,0,7
442,0,3,133602,47,Artist,1,1
443,1,95,66322,88,Artist,0,3
444,1,0,68761,16,Lawyer,1,4
445,0,7,70749,86,Artist,13,3
446,0,54,65874,87,Artist,7,6
447,0,89,115996,24,Engineer,15,1
448,1,58,67097,91,Engineer,6,1
449,1,12,108027,64,Artist,13,5
450,0,7,176349,80,Healthcare,8,2
451,0,11,88452,40,Healthcare,8,6
452,0,74,128266,55,Engineer,7,4
453,1,64,156777,20,Healthcare,7,2
454,1,48,123234,50,Lawyer,10,7
455,1,8,60790,38,Artist,1,5
456,1,15,181332,99,Artist,14,6
457,0,1,187297,7,Artist,0,1
458,1,21,153885,86,Artist,6,6
459,0,84,53500,44,Marketing,3,4
460,1,5,69443,28,Doctor,4,6
461,1,47,124072,56,Lawyer,0,7
462,1,96,135800,29,Healthcare,0,7
463,0,93,120597,96,Artist,2,4
464,1,16,91358,11,Entertainment,1,4
465,0,56,53231,41,Marketing,0,5
466,1,76,156330,31,Engineer,1,2
467,0,0,186002,80,Doctor,15,2
468,1,70,111760,53,Executive,12,5
469,1,47,143906,12,Artist,4,3
470,0,13,182410,22,Healthcare,11,4
471,0,86,98463,46,Homemaker,10,5
472,0,91,93762,28,Artist,15,7
473,0,97,104582,50,Healthcare,8,2
474,0,20,130813,92,Artist,17,5
475,1,11,59202,92,Healthcare,5,4
476,1,28,79968,45,Lawyer,9,2
477,0,32,104824,42,Artist,0,7
478,0,82,188719,30,Lawyer,0,6
479,0,39,187536,66,Healthcare,3,6
480,0,7,134008,85,Entertainment,2,1
481,1,13,176397,71,Artist,6,3
482,1,34,154888,43,Healthcare,9,6
483,0,76,155622,81,Healthcare,0,2
484,1,30,62330,60,Healthcare,1,1
485,1,69,112838,34,Healthcare,1,7
486,0,22,58283,59,Homemaker,2,4
487,1,60,77857,81,Artist,1,6
488,0,66,125024,25,Artist,0,1
489,1,57,136242,34,Artist,9,1
490,1,60,81934,81,Healthcare,1,4
491,1,59,130511,97,Artist,3,4
492,1,54,144502,88,Lawyer,3,1
493,0,90,63769,6,Artist,4,2
494,1,14,66760,20,Artist,0,4
495,1,34,135115,54,Entertainment,1,7
496,1,85,179877,17,Healthcare,12,4
497,1,83,93351,65,Doctor,1,1
498,0,12,84547,96,Homemaker,3,3
499,0,95,121725,3,,12,3
500,0,41,65723,91,Artist,6,7
501,1,38,96794,96,Healthcare,6,3
502,0,68,72352,61,Healthcare,8,5
503,1,4,53097,21,Healthcare,0,7
504,1,5,144831,17,Artist,1,3
505,1,3,183851,10,Doctor,1,2
506,1,20,111896,90,Executive,1,3
507,1,3,64824,30,Executive,1,1
508,0,36,88565,16,Healthcare,1,5
509,1,70,104974,63,Artist,1,1
510,1,17,167060,47,Artist,1,5
511,1,31,69018,17,Artist,6,1
512,1,48,174109,96,Entertainment,0,1
513,0,28,62186,29,Marketing,0,1
514,0,97,183783,70,Healthcare,9,3
515,0,81,83771,1,Artist,1,2
516,1,37,148196,91,Artist,0,2
517,0,85,131742,87,Entertainment,1,1
518,1,78,59971,94,Homemaker,14,7
519,1,13,88960,2,Entertainment,13,3
520,1,53,140107,38,Healthcare,1,5
521,1,41,161896,49,Entertainment,1,3
522,1,9,57272,60,Engineer,1,1
523,0,20,119952,2,Healthcare,8,2
524,1,98,167197,63,Doctor,1,5
525,1,44,186116,2,Healthcare,8,6
526,1,66,134677,59,Healthcare,15,5
527,1,58,180479,74,Healthcare,0,3
528,0,97,112783,21,Artist,9,6
529,0,13,150258,17,Doctor,0,3
530,0,48,115832,92,Artist,2,2
531,1,47,104834,44,Artist,0,7
532,0,93,152571,66,Doctor,14,5
533,1,11,162287,45,Engineer,3,2
534,1,68,171761,59,Doctor,1,6
535,1,87,77709,73,Artist,0,1
536,1,22,95053,17,Entertainment,1,2
537,0,89,74820,33,Doctor,1,2
538,0,57,152267,92,Engineer,9,5
539,0,91,71925,14,Artist,4,2
540,1,84,151340,95,Artist,1,7
541,0,56,162921,51,Executive,0,4
542,1,26,52234,30,Executive,1,2
543,1,56,100271,87,Artist,1,5
544,1,6,170266,23,Artist,3,2
545,1,33,88763,1,Entertainment,1,1
546,1,89,107359,26,,10,6
547,0,99,164781,83,Engineer,0,2
548,1,25,156016,85,Artist,2,1
549,1,96,186882,40,Entertainment,1,7
550,1,35,99300,88,Homemaker,5,2
551,0,16,58127,65,Marketing,0,3
552,1,81,89211,12,Doctor,1,7
553,1,7,148607,59,Homemaker,1,7
554,1,31,139592,62,Marketing,1,1
555,1,16,172051,62,Healthcare,1,3
556,0,89,57033,99,Artist,0,4
557,0,84,117612,63,Engineer,0,6
558,0,40,185321,96,Artist,0,7
559,1,17,186577,5,Healthcare,8,5
560,0,0,151298,89,Artist,0,6
561,1,69,123925,52,Artist,1,7
562,1,17,169496,12,Lawyer,11,6
563,1,0,142892,25,Entertainment,8,1
564,1,34,58979,3,Entertainment,9,5
565,1,51,141416,100,Healthcare,15,1
566,0,54,104854,67,Healthcare,1,7
567,1,19,180331,14,Artist,17,5
568,1,99,172896,13,Engineer,0,3
569,1,2,101451,82,Healthcare,4,3
570,1,91,189974,37,Engineer,8,1
571,0,65,90084,65,Artist,1,6
572,1,47,112247,24,Executive,4,5
573,1,91,181775,61,Artist,4,5
574,1,64,59088,31,Artist,1,3
575,1,91,60856,23,Artist,1,6
576,0,32,149900,34,Artist,6,3
577,0,15,142776,98,Engineer,8,5
578,0,22,162598,84,Artist,8,3
579,1,37,146195,89,Healthcare,4,4
580,0,83,135268,53,Lawyer,4,5
581,1,89,136037,1,Marketing,5,1
582,1,33,111191,67,Artist,9,4
583,1,13,144111,62,Entertainment,12,5
584,1,71,177359,56,Doctor,6,2
585,1,10,112818,85,Marketing,15,7
586,0,49,53509,98,Artist,5,4
587,1,9,168269,75,Executive,10,2
588,1,53,86766,2,Lawyer,16,3
589,1,63,52661,25,Healthcare,12,5
590,1,46,148520,14,Healthcare,11,5
591,0,42,149936,52,Artist,15,3
592,1,73,102296,31,Entertainment,7,5
593,0,75,178416,16,Executive,10,7
594,1,49,83788,41,Doctor,15,1
595,1,96,184771,77,Engineer,8,5
596,1,52,70302,88,Executive,14,3
597,1,15,58639,51,Entertainment,5,7
598,0,91,97879,40,Entertainment,15,7
599,0,22,64707,29,Entertainment,7,3
600,0,62,71795,87,Healthcare,8,1
601,0,41,76567,85,Doctor,16,1
602,0,61,126370,20,,11,4
603,1,71,154007,32,Artist,7,7
604,1,91,69720,78,Lawyer,17,6
605,1,94,85265,68,Executive,7,6
606,1,3,155864,31,Healthcare,13,3
607,1,15,99421,72,Artist,8,7
608,1,96,145457,57,Executive,2,1
609,0,12,118041,77,Artist,9,2
610,1,23,73759,83,Doctor,0,7
611,0,94,90082,17,Artist,5,7
612,1,7,74928,12,Artist,0,6
613,1,74,101352,36,Lawyer,0,5
614,1,52,93947,81,Healthcare,9,2
615,0,39,134629,23,Engineer,1,6
616,0,72,101858,70,Healthcare,8,6
617,1,55,165501,47,Artist,10,4
618,0,29,135931,74,Lawyer,5,1
619,0,38,103356,20,Marketing,1,6
620,1,44,75195,79,Artist,1,3
621,0,58,123083,44,Entertainment,6,5
622,0,77,73884,30,Healthcare,1,2
623,1,56,91180,61,Entertainment,1,7
624,0,79,86235,52,Artist,0,2
625,1,97,96400,4,Doctor,1,7
626,0,78,83599,12,Healthcare,1,6
627,1,91,82535,50,Healthcare,0,1
628,0,35,92227,8,Lawyer,0,5
629,1,43,150444,27,Artist,13,4
630,1,37,149095,83,Lawyer,1,2
631,0,63,113605,42,Artist,3,3
632,1,16,93854,82,Healthcare,0,7
633,0,32,118280,92,Artist,0,5
634,0,91,94576,90,Artist,0,1
635,1,33,129257,70,Executive,6,3
636,1,57,70373,10,Healthcare,2,6
637,1,43,77600,66,Healthcare,0,1
638,1,26,113707,97,Entertainment,0,5
639,1,59,189672,8,Doctor,0,7
640,1,61,143180,58,Artist,0,5
641,1,59,174890,14,Marketing,3,4
642,0,66,121377,19,,7,7
643,0,26,154857,13,Healthcare,0,7
644,1,67,160945,51,Healthcare,0,5
645,1,85,119557,35,Artist,0,2
646,1,76,187141,33,Doctor,0,7
647,1,57,97468,22,Artist,0,1
648,1,77,160351,77,Lawyer,8,5
649,1,66,178627,94,Healthcare,1,2
650,1,49,170188,80,Lawyer,1,6
651,1,36,166007,40,Doctor,1,4
652,0,74,91794,83,Entertainment,0,7
653,1,16,189072,86,Artist,6,3
654,0,27,152717,15,Executive,1,6
655,1,3,158549,98,Executive,0,3
656,0,31,134263,94,Marketing,1,3
657,1,30,148236,28,Executive,1,1
658,0,94,171677,81,Artist,0,6
659,1,31,189446,38,Artist,1,6
660,0,49,106633,53,Artist,0,3
661,0,49,81084,48,Executive,6,5
662,0,53,148759,52,Doctor,7,7
663,1,3,117638,95,Healthcare,2,7
664,1,91,159537,37,Doctor,4,1
665,0,26,79526,6,Marketing,9,7
666,0,28,101414,64,,8,1
667,1,92,109519,72,Entertainment,1,4
668,1,59,156880,70,Artist,0,7
669,0,15,157278,58,Artist,0,6
670,1,23,144916,84,Engineer,1,7
671,0,54,59163,100,Marketing,3,3
672,1,93,93991,49,Artist,1,3
673,1,65,58318,45,Doctor,1,1
674,1,13,180786,88,Lawyer,1,5
675,0,71,84622,45,Doctor,0,6
676,0,1,92674,59,Artist,8,4
677,1,57,87553,94,Artist,1,1
678,0,14,74174,79,Entertainment,1,2
679,1,77,180831,33,Healthcare,1,2
680,1,89,137397,33,Doctor,1,7
681,0,17,96154,100,Artist,1,4
682,0,86,172477,69,Entertainment,1,3
683,0,42,59954,37,Executive,4,4
684,1,29,112240,95,Entertainment,0,4
685,1,54,145679,35,Artist,0,2
686,0,96,136265,49,Artist,12,5
687,1,58,74869,12,Healthcare,0,3
688,1,52,109425,46,Engineer,0,1
689,1,3,126015,57,Healthcare,0,1
690,1,13,156951,66,Healthcare,4,7
691,1,3,127172,68,Healthcare,1,2
692,0,89,113834,22,Doctor,0,3
693,0,83,132005,2,Entertainment,0,5
694,1,80,171323,78,Lawyer,10,4
695,1,74,92355,87,Entertainment,1,4
696,0,42,60982,3,Healthcare,0,5
697,1,91,51742,33,Artist,8,3
698,1,31,138612,71,Executive,9,2
699,0,8,158123,84,Artist,1,1
700,0,64,164675,65,Executive,0,5
701,1,41,172882,27,Healthcare,8,7
702,1,62,70119,93,Artist,0,1
703,0,41,113998,26,Healthcare,7,7
704,0,22,114011,40,,5,7
705,0,5,57265,89,Entertainment,7,7
706,1,38,130597,2,Artist,6,1
707,1,88,121597,7,Engineer,0,5
708,0,56,103210,100,Artist,6,6
709,0,47,66308,8,Executive,0,4
710,0,4,141336,93,Homemaker,2,1
711,0,82,153632,76,Entertainment,9,7
712,1,31,65520,71,Lawyer,1,2
